Name,Short,Korean Name,Gender,Debut,Company,Members,Orig Memb,Fanclub Name,Active
SHINee,,샤이니,Male,25/05/2008,SM,4,5,Shawol,Yes
Shinhwa,,신화,Male,24/03/1998,SM| Good| Shinhwa,6,6,Shinhwa Changjo,Yes
SIGMA,,시그마,Male,26/01/2021,Pluswin,4,4,,Yes
Signal,,시그널,Male,28/08/2019,J-Star,4,4,,Yes
SISTAR,,씨스타,Female,6/03/2010,Starship,4,4,STAR1,No
SKYE,IN2IT,스카이,Male,26/10/2017,MMO,6,8,,Yes
SKYLE,,스카이리,Female,4/08/2021,Good Luck,4,4,,Yes
Snuper,,스누퍼,Male,16/11/2015,Widmay,6,6,Swing,No
Solia,,쏠리아,Female,17/08/2021,Space,5,5,,No
Sonamoo,,소나무,Female,29/12/2014,TS,5,7,Solbangul,No
Spectrum,,스펙트럼,Male,9/05/2018,WYNN,6,7,,No
Speed,,스피드,Male,15/01/2013,MBK,7,7,,No
SPICA,,스피카,Female,7/02/2012,CJ E&M,5,5,Mercury,No
SS501,,더블에스오공일,Male,8/06/2005,DSP| CI,5,5,Triple S,No
STAYC,,스테이씨,Female,12/11/2020,Hi-Up,6,6,,Yes
Stellar,,스텔라,Female,28/08/2011,Pascal,4,4,Twinkle,No
Stray Kids,SKZ,스트레이 키즈,Male,25/03/2018,JYP,8,9,STAY,Yes
Sunny Hill,,써니힐,Female,20/09/2007,Nega,4,5,,No
Super Junior,SJ,슈퍼주니어,Male,6/11/2005,SM,11,12,ELF,Yes
SUPERKIND,,슈퍼카인드,Male,20/06/2022,Deep Studio,7,7,Players,Yes
SuperM,,슈퍼엠,Male,4/10/2019,SM,7,7,,Yes
Supernova,,초신성,Male,21/09/2007,CJ E&M,5,6,,Yes
Tahiti,,타히티,Female,23/06/2012,J-line,5,6,,No
T-ara,,티아라,Female,29/07/2009,MBK,4,6,QUEEN'S,Hiatus
Target,,타겟,Male,23/01/2018,TNS,7,7,,Yes
Teen Top,,틴탑,Male,9/07/2010,TOP Media,5,6,Angel,Yes
TEMPEST,,템페스트,Male,2/03/2022,Yuehua,7,7,iE,Yes
TFN,T1419,티에프앤,Male,11/01/2021,MLD,9,9,,Yes
The Boyz,,더보이즈,Male,31/12/2017,Cre.Ker,11,12,,Yes
The Eastlight,,더 이스트라이트,Male,3/11/2016,MediaLine,6,6,,No
The Grace,CSJH,천상지희,Female,29/04/2005,SM,3,4,,No
The Legend,,전설,Male,9/07/2014,SS,5,5,,No
THE MAN BLK,,더 맨 블랙,Male,15/11/2018,Stardium,10,10,,Yes
Tiny-G,,타이니지,Female,23/08/2012,GNG,3,4,,No
TNX,,티엔엑스,Male,17/05/2022,P NATION,6,6,THX,Yes
TOO,,티오오,Male,1/04/2020,n.CH,10,10,,Yes
ToppDogg,,탑독,Male,22/10/2013,Stardom| Hunus,5,13,ToppKlass,No
TRACER,,트레이서,Female,3/04/2022,Gleamedia,4,4,,Yes
TRAX,,트랙스,Male,20/07/2004,SM,2,4,,No
TRCNG,,티알씨엔지,Male,10/10/2017,TS,10,10,,No
Treasure,,트레저,Male,7/08/2020,YG,12,12,,Yes
TREI,,트레이,Male,19/02/2019,Banana,3,3,,No
TRENDZ,,트렌드지,Male,5/01/2022,Interpark,7,7,,Yes
TRI.BE,,트라이비,Female,17/02/2021,TR - Mellow,7,7,TRUE,Yes
tripleS,,트리플에스,Female,13/02/2023,MODHAUS,12,24,,Yes
TST,Top Secret,일급비밀,Male,4/01/2017,JSL,5,7,,Yes
Turbo,,터보,Male,6/09/1995,MBK| Turbo Co.,3,2,,Hiatus
TVXQ!,TVXQ,동방신기,Male,26/12/2003,SM,2,5,Cassiopeia,Yes
TWICE,,트와이스,Female,20/10/2015,JYP,9,9,Once,Yes
Two X,,투엑스,Female,20/08/2012,J. Tune,4,5,,No
TXT,,투모로우바이투게더,Male,4/03/2019,Big Hit,5,5,,Yes
U-KISS,,유키스,Male,28/08/2008,NH Media,6,6,Kissme,Yes
UNB,,유앤비,Male,7/04/2018,Unit Culture,9,9,,No
Uni.T,,유니티,Female,18/05/2018,Unit Culture,8,9,,No
Unicorn,,유니콘,Female,3/09/2015,Cartoon Blue,4,5,,No
UNIQ,,유니크,Male,20/10/2014,Yuehua,5,5,Unicorn,Hiatus
UNVS,,유니버스,Male,23/02/2020,CHITWN,5,5,,Yes
UP10TION,,업텐션,Male,10/09/2015,TOP Media,10,10,HONEY10,Yes
VANNER,,배너,Male,14/02/2019,VT,5,5,,Yes
Varsity,,바시티,Male,5/01/2017,GKC,12,12,,Yes
VAV,,브이에이브이,Male,31/10/2015,A team,7,6,,Yes
Verivery,VRVR,베리베리,Male,1/09/2019,Jellyfish,7,7,,Yes
VERMUDA,,버뮤다,Male,13/07/2017,JJJ,5,5,,Yes
VICTON,,빅톤,Male,9/11/2016,Plan A,6,7,Alice,Yes
VIVIZ,,비비지,Female,9/02/2022,Big Planet Made,3,3,,Yes
VIXX,,빅스,Male,24/05/2012,Jellyfish,4,6,Starlight,Yes
VOISPER,,보이스퍼,Male,23/02/2016,Evermore,4,4,,Yes
VROMANCE,,브로맨스,Male,12/06/2016,RBW,4,4,,Yes
Wable,,와블,Female,17/02/2016,Kiwi,2,2,,Yes
Wanna One,,워너원,Male,7/08/2017,YMC,11,11,Wannable,No
Wanna.B,,워너비,Female,17/11/2014,Zenith,5,4,Ru.B,No
Wassup,,와썹,Female,7/08/2013,Mafia,7,7,,No
We Girls,,위걸스,Female,31/08/2018,Afternoon,8,8,,Yes
We In The Zone,,위인더존,Male,27/05/2019,Choon,5,5,,No
WE:A,,위아,Male,29/03/2023,Madewell,4,4,,Yes
"We;Na",,위나,Female,5/09/2022,Shine E&M,4,4,mymean,Yes
Weeekly,,위클리,Female,30/07/2020,Play M,6,7,,Yes
Wei,,위아이,Male,5/10/2020,OUI,6,6,,Yes
Weki Meki,WeMe,위키미키,Female,8/08/2017,Fantagio,8,8,,Yes
WEUS,,위어스,Male,3/04/2023,WEUS,7,8,,Yes
WINNER,,위너,Male,12/08/2014,YG,4,5,Ace,Yes
WJSN,Cosmic Girls,우주소녀,Female,25/02/2016,Starship,10,12,Ujung,Yes
Wonder Girls,WG,원더걸스,Female,13/02/2007,JYP,4,5,Wonderful,No
woo!ah!,,우아,Female,15/05/2020,NV,5,6,,Yes
WOW,,와우,Male,8/03/2021,A.CONIC,7,7,,Yes
X:IN,,엑신,Female,11/04/2023,Escrow,5,5,,Yes
Xdinary Heroes,,엑스디너리 히어로즈,Male,6/12/2021,JYP,6,6,,Yes
XEED,,씨드,Male,1/12/2022,Nature Space,3,4,GREENY,Yes
XENEX,,제넥스,Male,26/02/2020,GiEok,5,5,,Yes
xikers,,싸이커스,Male,30/03/2023,KQ,10,10,,Yes
XODIAC,,소디엑,Male,25/03/2023,One Cool Jacso,9,9,,Yes
XUM,,썸,Female,22/09/2020,A100,3,3,AWEXUM,No
Yellow Bee,,옐로비,Female,23/11/2017,Addiction,5,5,,No
YOUNITE,,유나이트,Male,20/04/2022,Brand New,9,9,YOUNIZ,Yes
ZE:A,,제국의 아이들,Male,7/01/2010,Star Empire,9,9,ZE:A Style,Hiatus
